implementation,checkpoint,rerun_stage,n_targets,noise,minsup,n_proc,win_size,light_output,full_subgroup_count,effective_monitored_subgroups,train_runtime_sec,precompute_runtime_sec,inject_runtime_sec,total_runtime_sec,train_peak_mb,precompute_peak_mb,inject_peak_mb,peak_memory_mb,train_returncode,precompute_returncode,inject_returncode,model_bytes,dataset_bytes,matches_bytes,supwise_bytes,drift_eval_bytes,total_artifact_bytes,model_mb,dataset_mb,matches_mb,supwise_mb,drift_eval_mb,total_artifact_mb,supwise_file_count,drift_eval_file_count,support_bucket_count,support_bucket_summary,avg_active_groups,min_active_groups,max_active_groups,subgroup_ratio_vs_baseline,runtime_ratio_vs_baseline,storage_ratio_vs_baseline,subgroup_reduction_vs_baseline,runtime_reduction_vs_baseline,storage_reduction_vs_baseline
baseline,adult_model_10,inject,1,0.5,0.05,2,5,False,18543,18543.0,,,32.97085440001683,32.97085440001683,,,617.359375,617.359375,,,0,86051,3530369,445620607,1469588950,0,1918825977,0.08206462860107422,3.3668222427368164,424.9769277572632,1401.5092372894287,0.0,1829.9350519180298,273,0,13,"{""0.0490-0.0525"": 21, ""0.0525-0.0551"": 21, ""0.0551-0.0581"": 21, ""0.0581-0.0615"": 21, ""0.0615-0.0658"": 21, ""0.0658-0.0704"": 21, ""0.0704-0.0765"": 21, ""0.0765-0.0849"": 21, ""0.0849-0.0960"": 21, ""0.0960-0.1090"": 21, ""0.1090-0.1310"": 21, ""0.1310-0.1860"": 21, ""0.1860-0.9920"": 21}",,,,,,,,,
adaptive,adult_model_adaptive_10,inject,1,0.5,0.05,2,5,False,18543,6514.333333333333,,,164.37931739998749,164.37931739998749,,,648.95703125,648.95703125,,,0,86051,3530369,445620607,561469803,0,1010706830,0.08206462860107422,3.3668222427368164,424.9769277572632,535.4593305587769,0.0,963.8851451873779,273,0,13,"{""0.0490-0.0525"": 21, ""0.0525-0.0551"": 21, ""0.0551-0.0581"": 21, ""0.0581-0.0615"": 21, ""0.0615-0.0658"": 21, ""0.0658-0.0704"": 21, ""0.0704-0.0765"": 21, ""0.0765-0.0849"": 21, ""0.0849-0.0960"": 21, ""0.0960-0.1090"": 21, ""0.1090-0.1310"": 21, ""0.1310-0.1860"": 21, ""0.1860-0.9920"": 21}",6514.333333333333,500.0,18543.0,0.3513095687501123,4.985594713611776,0.5267318882039504,0.6486904312498877,-3.9855947136117758,0.47326811179604955
