implementation,Accuracy,F1,FPR,FNR,TP,FP,TN,FN,N
adaptive,0.5117216117216117,0.2540570789031897,0.21869782971619364,0.8158215010141988,454,655,2340,2011,5460
baseline,0.5278388278388279,0.38354854136776667,0.3055091819699499,0.6746450304259635,802,915,2080,1663,5460
