implementation,method,nDCG,nDCG_10,nDCG_100,Pearson,Spearman
adaptive,delta,0.7263177186359964,0.0756036781799681,0.10972236951509588,0.004401746139070855,0.007081637854166761
adaptive,random,0.7261820127149383,0.11221596210480542,0.12254323800530713,-3.320764278312337e-05,0.00011294890735742366
adaptive,tstat,0.727314477406886,0.11339053422724527,0.137341656236896,0.007684506301533555,0.008156739147919331
baseline,delta,0.730429553474342,0.06304139410275401,0.08000131817968333,0.07518201260069839,0.06619340973407288
baseline,random,0.7261871363334576,0.1123591121160169,0.12250635031009088,-6.478654722192652e-05,-4.160275872245655e-05
baseline,tstat,0.7355606694285433,0.10312734198593655,0.12831043666974318,0.06744592276092908,0.06455280079008682
