implementation,checkpoint,rerun_stage,n_targets,noise,minsup,n_proc,win_size,light_output,full_subgroup_count,effective_monitored_subgroups,train_runtime_sec,precompute_runtime_sec,inject_runtime_sec,total_runtime_sec,train_peak_mb,precompute_peak_mb,inject_peak_mb,peak_memory_mb,train_returncode,precompute_returncode,inject_returncode,model_bytes,dataset_bytes,matches_bytes,supwise_bytes,drift_eval_bytes,total_artifact_bytes,model_mb,dataset_mb,matches_mb,supwise_mb,drift_eval_mb,total_artifact_mb,supwise_file_count,drift_eval_file_count,support_bucket_count,support_bucket_summary,avg_active_groups,min_active_groups,max_active_groups,subgroup_ratio_vs_baseline,runtime_ratio_vs_baseline,storage_ratio_vs_baseline,subgroup_reduction_vs_baseline,runtime_reduction_vs_baseline,storage_reduction_vs_baseline
baseline,adult_model_10,inject,10,0.5,0.05,2,5,False,18543,18543.0,,,142.11266610003076,142.11266610003076,,,618.44921875,618.44921875,,,0,86051,3530369,445620607,2421893097,0,2871130124,0.08206462860107422,3.3668222427368164,424.9769277572632,2309.6972436904907,0.0,2738.123058319092,392,0,13,"{""0.0490-0.0525"": 21, ""0.0525-0.0551"": 30, ""0.0551-0.0581"": 31, ""0.0581-0.0615"": 31, ""0.0615-0.0658"": 31, ""0.0658-0.0704"": 31, ""0.0704-0.0765"": 31, ""0.0765-0.0849"": 31, ""0.0849-0.0960"": 31, ""0.0960-0.1090"": 31, ""0.1090-0.1310"": 31, ""0.1310-0.1860"": 31, ""0.1860-0.9920"": 31}",,,,,,,,,
adaptive,adult_model_adaptive_10,inject,10,0.5,0.05,2,5,False,18543,6514.333333333333,,,1430.0788882999914,1430.0788882999914,,,645.80078125,645.80078125,,,0,86051,3530369,445620607,917824449,0,1367061476,0.08206462860107422,3.3668222427368164,424.9769277572632,875.3056039810181,0.0,1303.7314186096191,392,0,13,"{""0.0490-0.0525"": 21, ""0.0525-0.0551"": 30, ""0.0551-0.0581"": 31, ""0.0581-0.0615"": 31, ""0.0615-0.0658"": 31, ""0.0658-0.0704"": 31, ""0.0704-0.0765"": 31, ""0.0765-0.0849"": 31, ""0.0849-0.0960"": 31, ""0.0960-0.1090"": 31, ""0.1090-0.1310"": 31, ""0.1310-0.1860"": 31, ""0.1860-0.9920"": 31}",6514.333333333333,500.0,18543.0,0.3513095687501123,10.062993873419998,0.47614054987359394,0.6486904312498877,-9.062993873419998,0.523859450126406
