implementation,checkpoint,rerun_stage,n_targets,noise,minsup,n_proc,win_size,light_output,full_subgroup_count,effective_monitored_subgroups,train_runtime_sec,precompute_runtime_sec,inject_runtime_sec,total_runtime_sec,train_peak_mb,precompute_peak_mb,inject_peak_mb,peak_memory_mb,train_returncode,precompute_returncode,inject_returncode,model_bytes,dataset_bytes,matches_bytes,supwise_bytes,drift_eval_bytes,total_artifact_bytes,model_mb,dataset_mb,matches_mb,supwise_mb,drift_eval_mb,total_artifact_mb,supwise_file_count,drift_eval_file_count,support_bucket_count,support_bucket_summary,avg_active_groups,min_active_groups,max_active_groups,subgroup_ratio_vs_baseline,runtime_ratio_vs_baseline,storage_ratio_vs_baseline,subgroup_reduction_vs_baseline,runtime_reduction_vs_baseline,storage_reduction_vs_baseline
baseline,adult_model_10,none,50,0.5,0.05,2,5,False,18543,18543.0,,,,,,,,,,,,86051,3530369,445620607,1365555720,0,1814792747,0.08206462860107422,3.3668222427368164,424.9769277572632,1302.2954177856445,0.0,1730.7212324142456,260,0,13,"{""0.0490-0.0525"": 20, ""0.0525-0.0551"": 20, ""0.0551-0.0581"": 20, ""0.0581-0.0615"": 20, ""0.0615-0.0658"": 20, ""0.0658-0.0704"": 20, ""0.0704-0.0765"": 20, ""0.0765-0.0849"": 20, ""0.0849-0.0960"": 20, ""0.0960-0.1090"": 20, ""0.1090-0.1310"": 20, ""0.1310-0.1860"": 20, ""0.1860-0.9920"": 20}",,,,,,,,,
adaptive,adult_model_adaptive_10,none,50,0.5,0.05,2,5,False,18543,6514.333333333333,,,,,,,,,,,,86051,3530369,445620607,522540300,0,971777327,0.08206462860107422,3.3668222427368164,424.9769277572632,498.3332633972168,0.0,926.7590780258179,260,0,13,"{""0.0490-0.0525"": 20, ""0.0525-0.0551"": 20, ""0.0551-0.0581"": 20, ""0.0581-0.0615"": 20, ""0.0615-0.0658"": 20, ""0.0658-0.0704"": 20, ""0.0704-0.0765"": 20, ""0.0765-0.0849"": 20, ""0.0849-0.0960"": 20, ""0.0960-0.1090"": 20, ""0.1090-0.1310"": 20, ""0.1310-0.1860"": 20, ""0.1860-0.9920"": 20}",6514.333333333333,500.0,18543.0,0.3513095687501123,,0.5354756506529063,0.6486904312498877,,0.46452434934709375
