implementation,checkpoint,support_low,support_high,method,nDCG,nDCG_10,nDCG_100,Pearson,Spearman,source_file,win_size,comparison
baseline,adult_model_10,0.049,0.0525,random,0.7723782366093417,0.04273508974524252,0.0698936025360117,0.0002257379453535673,-0.006681429909262095,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,delta,0.7816843260831862,0.18249691236448307,0.202973920368825,0.244121182938983,0.24228976099638078,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,tstat,0.7911906045522036,0.18698339988495405,0.212373855464252,0.24213422024744885,0.22671467890097405,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,random,0.7179418017899148,0.005076268287202485,0.05664363887414279,-0.0027878383070191457,0.001974588431867342,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,delta,0.7898956558148172,0.022823820816796448,0.00825002530840193,0.1782078698689939,0.250756086177017,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-15-34-54-57-77.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,tstat,0.8230363957758898,0.00887728890396719,0.10532671709688027,0.3021495625360334,0.2716635009319923,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-15-34-54-57-77.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,random,0.7715917749259609,0.04422399670610463,0.08009303013615973,0.009668342767120185,0.004995188798747404,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-15-34-54-57-77.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,delta,0.7891845769192642,0.08576299022829631,0.09052580169395687,0.28136320599527254,0.2801082054107919,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-5-15-34-55-88.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,tstat,0.7957465599841625,0.09479161409089935,0.14499434233101188,0.26715982925373294,0.26635249778862874,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-5-15-34-55-88.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,random,0.725094257754126,0.0,0.050799625336248905,0.0046781738577114105,0.004104707320427191,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-5-15-34-55-88.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,delta,0.8249382445226455,0.19871378153344674,0.12992554353532285,-0.028606076274754366,0.019114084843934828,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-0-34-57-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,tstat,0.8278846865676914,0.19871378153344674,0.11301073017753932,-0.022883299401647017,0.03397282338894765,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-0-34-57-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,random,0.8332579963089755,0.17983935578567362,0.121374581852792,0.0035611642680064334,0.007110427788665792,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-0-34-57-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,delta,0.8684525418893128,0.17392044870194906,0.30132887978589057,0.48666580853658536,0.36995975657495644,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-0-5-13-15-20-26-54.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,tstat,0.867395360428272,0.2968011962291293,0.36084980560655494,0.4042740890878111,0.36464291198393034,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-0-5-13-15-20-26-54.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,random,0.7656771452253247,0.017580420329040464,0.05952173182841361,-0.0008117829073841467,-0.0018155383633038954,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-0-5-13-15-20-26-54.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,delta,0.8199909346431388,0.013819482454192102,0.005440220147436566,0.021093459024720002,0.04564773320548279,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-1-15-20-26-34-57-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,tstat,0.8362445318908731,0.029352807920138196,0.03666160605764661,0.08931891725424931,0.06944869860606548,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-1-15-20-26-34-57-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,random,0.8330321597145439,0.08159663175248767,0.13472255205994066,-0.009214974253041122,-0.011538315498112624,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-1-15-20-26-34-57-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,delta,0.7581524348220111,0.007672827070235628,0.0023066230712922207,0.024392187367520368,0.07035414791971516,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-1-5-27-57-77-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,tstat,0.7634603761208292,0.002494410761548318,0.016351708010339326,0.03887649845219932,0.06644370790984813,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-1-5-27-57-77-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,random,0.7784035063176666,0.04143759720256298,0.07102043670487763,-0.0037473410907228498,0.0008945654893855245,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-1-5-27-57-77-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,delta,0.8590571081417755,0.3413958070411061,0.3573944066039312,0.37210792169357304,0.21853899458738169,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-20-26-78-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,tstat,0.8490958613421864,0.2680711283484624,0.27511482682531463,0.2571199859062798,0.1977415105921618,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-20-26-78-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,random,0.7756367946979528,0.04448077896956872,0.07746420486885883,0.006566030692936805,0.012382655725008506,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-20-26-78-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,delta,0.7912971348436008,0.15638684491385962,0.1460813021376605,-0.09615527989495053,-0.18082924895652233,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-26-34-50-77.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,tstat,0.7909941847222398,0.15638684491385962,0.11581506455539792,-0.14181869093829366,-0.20447281588274818,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-26-34-50-77.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,random,0.8143385748072032,0.04127098717854354,0.1227990225079149,0.0008593188608270867,0.00403704701493563,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-26-34-50-77.pkl,5,first_vs_last
