implementation,method,nDCG,nDCG_10,nDCG_100,Pearson,Spearman
adaptive,delta,0.8138770250632382,0.12129680343171262,0.18006985037992407,0.028576157920766006,0.03310824123949459
adaptive,random,0.8101180817187027,0.13623248141866864,0.14046992432270583,0.0009309897525146363,0.0006045976685871945
adaptive,tstat,0.813924938644214,0.13607864134258812,0.1779413050394112,0.01788938158751295,0.032926332876557045
baseline,delta,0.8407422094524237,0.17320522316536707,0.18866250772108098,0.2058687514355957,0.1843431390610485
baseline,random,0.8097011324079492,0.120133350853285,0.13684755772347584,3.833152785405178e-05,0.0002980826512763746
baseline,tstat,0.8455119556957477,0.19008266771910726,0.221672892461066,0.16849582034138488,0.1720818963918161
