implementation,Accuracy,F1,FPR,FNR,TP,FP,TN,FN,N
adaptive,0.5,0.6666666666666666,1.0,0.0,130,130,0,0,260
baseline,0.5,0.0,0.0,1.0,0,0,130,130,260
