implementation,Accuracy,F1,FPR,FNR,TP,FP,TN,FN,N
adaptive,0.2108843537414966,0.2926829268292683,0.5,0.8195488721804511,24,7,7,109,147
baseline,0.41966873706004143,0.5445978878960196,0.2836734693877551,0.6138248847926268,3352,278,702,5328,9660
