implementation,support_low,support_high,Accuracy,F1,FPR,FNR,TP,FP,TN,FN,N
adaptive,0.049,0.0525,0.2108843537414966,0.2926829268292683,0.5,0.8195488721804511,24,7,7,109,147
baseline,0.0428,0.0546,0.5971277399848829,0.6973310618966496,0.0,0.46469049694856146,614,0,176,533,1323
baseline,0.0546,0.0695,0.3412698412698413,0.45751633986928103,0.38461538461538464,0.6902654867256637,350,50,80,780,1260
baseline,0.0695,0.0886,0.40476190476190477,0.5222929936305734,0.16666666666666666,0.6403508771929824,410,20,100,730,1260
baseline,0.0886,0.1129,0.4523809523809524,0.5766871165644172,0.16666666666666666,0.5877192982456141,470,20,100,670,1260
baseline,0.1129,0.1438,0.4444444444444444,0.5882352941176471,0.5,0.5614035087719298,500,60,60,640,1260
baseline,0.1438,0.1833,0.2777777777777778,0.42767295597484273,0.9166666666666666,0.7017543859649122,340,110,10,800,1260
baseline,0.1833,0.2336,0.36642453591606133,0.47421299397186867,0.15254237288135594,0.6842105263157895,354,18,100,767,1239
baseline,0.2336,0.2976,0.48872180451127817,0.6061776061776062,0.0,0.5650969529085873,314,0,76,408,798
